iter,xent_loss,val_acc
250,1.6348194255828858,0.3540589042541961
500,1.4892214951515197,0.878295250616585
750,1.4551285934448241,0.8916058078942065
1000,1.448483121395111,0.8989376505474891
1250,1.4403702034950256,0.9005306948936211
1500,1.440672158241272,0.8997437693732426
1750,1.4363146200180055,0.9013464103720622
2000,1.4405240769386292,0.9026803450956307
2250,1.432579246520996,0.9057992572190819
2500,1.4288239250183106,0.9045900789804516
2750,1.430307870388031,0.9035824304482597
3000,1.435397710800171,0.9024980086945673
3250,1.42990101146698,0.9055497442492059
3500,1.4307892203330994,0.9053961978062052
3750,1.4285538349151612,0.901855032964502
4000,1.4302705817222596,0.905357811195455
4250,1.4245478019714355,0.903217757646133
4500,1.4305275168418885,0.903870330028886
4750,1.427444875240326,0.9065765860867729
5000,1.4260181469917297,0.9052426513632045
5250,1.4322012033462523,0.9042637927890752
5500,1.4250122017860412,0.9045037091062638
5750,1.4323951234817505,0.9058088538717696
6000,1.422759069442749,0.9053770045008301
6250,1.4273837389945985,0.9079681007264666
6500,1.4296220450401307,0.908294386917843
6750,1.429349636554718,0.906154333368521
7000,1.420624698638916,0.9056169208180187
7250,1.4230565299987794,0.9041102463460745
7500,1.426246087551117,0.9066629559609608
7750,1.4243012046813965,0.9044077425793883
8000,1.4293621668815613,0.9044749191482011
8250,1.432864471435547,0.9053194245847048
8500,1.4268633456230164,0.9060007869255203
8750,1.4263397250175476,0.9058280471771446
9000,1.4292108764648437,0.9039662965557613
9250,1.4231363172531128,0.906029576883583
9500,1.4244748582839966,0.9067877124458988
9750,1.4244119944572449,0.906701342571711
10000,1.4217935757637024,0.9067877124458988
